fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
21/04/25,trabajo en taller,null,publico,taller,null,null,null,null,null,null,null,null,null
22/04/25,colocacion de lampara,villa elisa,publico,hipolito irigoyen y matienzo,null,lampara 80w,1,null,null,null,null,null,null
22/04/25,colocacion de lampara,heroes de malvinas,publico,ninguna,null,lampara 80w,1,null,null,null,null,null,null
22/04/25,colocacion de lampara,alfonsin,publico,alfonsin y almirante brown,null,lampara 80w,1,null,null,null,null,null,null
22/04/25,colocacion de lampara,almirante brown,publico,almirante brown y cordoba,null,lampara 80w,1,null,null,null,null,null,null
22/04/25,colocacion de lampara,cordoba,publico,cordoba y heroes de malvinas,null,lampara 80w,2,null,null,null,null,null,null
22/04/25,colocacion de lampara,colón,publico,colon y cordoba,null,lampara 80w,1,null,null,null,null,null,null
22/04/25,colocacion de lampara,namuncura,publico,namuncura y chazarreta,null,lampara 80w,1,null,null,null,null,null,null
22/04/25,reconexion,mar argentino,publico,entre namuncura y corrientes,null,null,null,null,null,null,null,null,null
22/04/25,"colocacion de lampara, antibandalo y poda",mar argentino,publico,mar argentino y cordoba,null,lampara 80w,1,antibandalo,1,null,null,null,null
22/04/25,colocacion de lampara,belgrano,publico,felix gomez y belgrano,null,lampara 80w,1,null,null,null,null,null,null
22/04/25,retiro de insumo,av san martin,publico,municipalidad,centro,lampara 80w,10,null,null,null,null,null,null
22/04/25,luminaria descompuesta,av san martin,publico,plaza mitre,null,null,null,null,null,null,null,null,null
22/04/25,colocacion de lamparas,octavio lascano,publico,octavio lascano y araujo,null,lampara 80w,2,null,null,null,null,null,null
22/04/25,reconexion,corrientes,publico,frente de escuela,null,null,null,null,null,null,null,null,null
22/04/25,colocacion de lampara,jesús fernandez,publico,poso zuni/ibañez,null,lampara 80w,2,null,null,null,null,null,null
22/04/25,colocacion de lampara,los castillos,publico,castillos y jesus fernandez,null,lampara 80w,1,null,null,null,null,null,null
22/04/25,empalme cable subterraneo,av belgrano,publico,paseo del agro,null,cable subterraneo ,"4, 10 mm",acometida,2 Mm,null,null,null,null
22/04/25,trabajo en taller,null,publico,taller,null,null,null,null,null,null,null,null,null
23/04/25,retiro de insumo,av san martin,publico,municipalidad,centro,lampara 80w,10,null,null,null,null,null,null
23/04/25,colocacion de lampara,null,publico,lado de lomada,cooperativa,lampara 80w,1,null,null,null,null,null,null
23/04/25,colocacion de lampara,almirante brown,publico,flia figueroa,null,lampara 80w,1,null,null,null,null,null,null
23/04/25,colocacion de lampara,null,publico,flia castillo,libertad,lampara 80w,1,null,null,null,null,null,null
23/04/25,"colocacion de antibandalo, lampara y cable de aluminio",pasaje pereyra,publico,extencion,null,lampara 80w,1,cable ,30Mm,Antibandalo completo,1,null,null
23/04/25,colocacion de lampara,20 de junio,publico,20 de junio y pereyra,null,lampara 80w,1,null,null,null,null,null,null
23/04/25,tutor en poste,null,publico,flia rodiguez,roca,null,null,null,null,null,null,null,null
23/04/25,reconexion y colocacion de lampara,santiago del estero,publico,santiago del estero y mayulli,null,lampara 80w,1,null,null,null,null,null,null
